WigleWifi-1.4,appRelease=2.60,model=SM-G973F,release=11,device=beyond1,display=RP1A.200720.012.G973FXXU9FUCD,board=exynos9820,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
7b:99:8d:79:01:b4,,Misc,2021-05-13 17:41:35,7936,-84,59.91850648451386,10.76097151898649,107.19519649715424,32,BLE
60:7e:c9:2f:30:02,Camilla sin iPhone,Smartphone;12,2021-05-13 17:41:35,524,-72,59.91850648451386,10.76097151898649,107.19519649715424,32,BLE
4e:5c:7c:8c:c7:4f,,Uncategorized;10,2021-05-13 17:41:35,7936,-86,59.91850648451386,10.76097151898649,107.19519649715424,32,BT
e6:6c:74:3d:75:b9,,Uncategorized;10,2021-05-13 17:41:35,7936,-81,59.91850648451386,10.76097151898649,107.19519649715424,32,BT
46:fb:fe:65:63:f7,,Uncategorized;10,2021-05-13 17:41:35,7936,-82,59.91850648451386,10.76097151898649,107.19519649715424,32,BLE
6c:27:be:60:a6:5e,,Misc,2021-05-13 17:41:35,7936,-80,59.91850648451386,10.76097151898649,107.19519649715424,32,BLE
68:64:4b:48:8b:91,,Uncategorized;10,2021-05-13 17:41:36,7936,-72,59.9184629156345,10.761118415562315,109.115947805348,32,BLE
fe:9f:c2:04:e8:2d,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-13 17:41:36,149,-59,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f0:9f:c2:04:e8:2d,SS_ansatt,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,149,-59,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f2:9f:c2:04:e8:2d,SS_gjester,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-13 17:41:36,149,-59,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f6:9f:c2:04:e8:2d,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-13 17:41:36,149,-59,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
fa:9f:c2:04:e8:2d,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-13 17:41:36,149,-59,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
00:17:13:25:c7:44,Vekstika2_44,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS],2021-05-13 17:41:36,3,-66,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
fa:8f:ca:56:aa:6c,,[ESS],2021-05-13 17:41:36,60,-71,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f0:9f:c2:03:f3:0d,SS_ansatt,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,11,-71,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
ec:be:dd:b4:c8:bd,Get-B4C8B7,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,108,-72,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
00:12:5f:11:2e:1a,WiPG-1000,[ESS],2021-05-13 17:41:36,9,-74,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f4:17:b8:c0:23:1b,Air4930_4RP7,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,64,-75,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
ec:be:dd:b4:cf:62,Get-B4CF5C,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,108,-79,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f4:17:b8:c0:1f:77,tjukken,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,100,-79,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
56:3a:1e:83:ac:5d,,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],2021-05-13 17:41:36,6,-79,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
98:da:c4:9c:9f:b2,Vekstika2,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,3,-80,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f4:17:b8:c6:fa:5f,Air4930_7HKC,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,56,-80,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
3a:56:fe:c8:81:ca,Qsys,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2021-05-13 17:41:36,11,-82,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
98:1e:19:a3:14:10,Get-2G-A3140B,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,6,-82,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
a8:6a:bb:dd:a6:96,Get-2G-DDA691,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,6,-82,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
8c:c5:b4:db:f5:30,DeBill 2G,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,11,-82,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f2:9f:c2:04:f2:c0,SS_ansatt,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,149,-84,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
6a:3a:0e:83:ac:5d,GWS,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-13 17:41:36,136,-84,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f4:17:b8:c0:24:2b,Air4930_7ND8,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,60,-84,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f6:9f:c2:04:f2:c0,SS_gjester,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-13 17:41:36,149,-85,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
e2:9f:c2:04:f2:c0,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-13 17:41:36,149,-85,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
6e:3a:0e:83:ac:5d,GWS Gjest,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-13 17:41:36,136,-85,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
56:3a:0e:83:ac:5d,,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],2021-05-13 17:41:36,136,-85,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f4:17:b8:c0:23:73,Air4930_SY74,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,64,-85,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f4:17:b8:c0:22:7b,Air4930_CR79,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,52,-85,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
fa:9f:c2:04:f2:c0,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-13 17:41:36,149,-85,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f2:9f:c2:04:f3:0d,SS_ansatt,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,149,-86,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
fa:9f:c2:04:f3:0d,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-13 17:41:36,149,-86,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f4:17:b8:c0:22:af,Air4930_9F47,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,108,-86,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
e2:9f:c2:04:f3:0d,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-13 17:41:36,149,-86,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f4:17:b8:c0:23:ff,Air4930_D847,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,56,-86,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
fe:9f:c2:04:f3:0d,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-13 17:41:36,149,-87,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
98:1e:19:a3:e7:6f,Get-A3E769,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,100,-87,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
70:8b:cd:89:34:cc,Inter Niet_5G,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-13 17:41:36,52,-87,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f4:17:b8:c0:23:67,Air4930_4374,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,108,-87,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
38:d5:47:1f:9d:bc,ASUS_5G,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,112,-87,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f6:9f:c2:04:f3:0d,SS_gjester,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2021-05-13 17:41:36,149,-87,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
98:1e:19:a2:56:38,Guru 5G,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,136,-88,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
f4:17:b8:c0:25:2b,Botten,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2021-05-13 17:41:36,60,-88,59.9184629156345,10.761118415562315,109.115947805348,32,WIFI
